Id,FkProfileId,Name,BusinessSector,TotalAsset,PercentageOwn,IdField
215584,8,PT Jalintim Adhi Abipraya,Investasi,132.765.138.708,60.0 %,9
215585,8,PT Jalintim Adhi Abipraya,Investasi,488.721.477.548,60.0 %,9
215586,8,PT Jalintim Adhi Abipraya,Investasi,488.721.477.548,60.0 %,9
215587,9,,,0,0.0 %,10
215588,10,PT Sentra Sintetikajaya,Tidak aktif,976.671,95.0 %,11
215589,1795,PT Alam Tri Daya Indonesia,Aktivitas kantor pusat dan konsultasi manajemen lainnya,778.394.932,99.99 %,1226
215590,11,,,0,0.0 %,12
215591,1559,,,0,0.0 %,1114
215599,534,PT Samator Gas Industri,Produksi dan Perdagangan gas,2.709.923,99.91 %,955
215600,534,PT Samator Gas Industri,Produksi dan Perdagangan gas,2.709.923,99.91 %,955
215601,534,PT Samator Gas Industri,Produksi dan Perdagangan gas,2.709.923,99.91 %,955
215603,534,PT Samator Gas Industri,Produksi dan Perdagangan gas,2.643.633,99.91 %,955
215602,534,PT Samator Gas Industri,Produksi dan Perdagangan gas,2.709.923,99.91 %,955
215592,534,PT Ruci Gas,Produksi dan Perdagangan gas,74.936,50.0 %,955
215593,534,PT Ruci Gas,Produksi dan Perdagangan gas,74.936,50.0 %,955
215594,534,PT Ruci Gas,Produksi dan Perdagangan gas,74.649,50.0 %,955
215595,534,PT Ruci Gas,Produksi dan Perdagangan gas,74.649,50.0 %,955
215596,534,PT Ruci Gas,Produksi dan Perdagangan gas,74.649,50.0 %,955
215597,534,PT Ruci Gas,Produksi dan Perdagangan gas,74.649,50.0 %,955
215598,534,PT Samator Gas Industri,Produksi dan Perdagangan gas,2.643.633,99.91000366 %,955
215604,12,,,0,0.0 %,13
215605,13,PT BANK IBK INDONESIA,PERBANKAN,10.954.831,100.0 %,14
215606,14,,,0,0.0 %,15
215607,15,,,0,0.0 %,16
215611,16,PT. Putra Taro Paloma,Industri Makanan Ringan,685.940,99.98999786 %,17
215612,16,PT. Subafood Pangan Jaya,Industri Makanan Ringan,185.310,99.98999786 %,17
215614,16,PT. Tiga Pilar Sejahtera,Industri dan Perdagangan Mie,672.768,99.98999786 %,17
215613,16,PT. Surya Cakra Sejahtera,"Pembangunan, Perdagangan, Perindustrian, Pengangkutan Darat, Pertanian, Percetakan dan Jasa",119.153,99.98000336 %,17
215608,16,PT. Balaraja Bisco Paloma,"Distribusi, Perdagangan dan Keagenan",649.198,99.98999786 %,17
215609,16,PT. Patra Power Nusantara,Industri Pembangkit Tenaga Listrik,141.542,99.98000336 %,17
215610,16,PT. Poly Meditra Indonesia,Industri Makanan Ringan,503.179,99.95999908 %,17
215615,17,PT Kagum Maha Karya Jaya,Perdagangan dan Jasa,703.145.654.349,99.98999786 %,18
215616,17,PT Kagum Mahakarya Investasi (d/h PT Eka Swastika Sedaya),Perdagangan dan Jasa,22.298.236,99.98999786 %,18
215617,17,PT Permata Nusantara Hotelindo,Jasa Manajemen Hotel,10.824.448.432,99.88999939 %,18
215618,18,International Resources (H.K.) Ltd.,Perdagangan dan Pemasaran flexible packaging film,96.671.000,98.0 %,19
215621,19,PT. AKR TRANSPORTASI INDONESIA (ATI),JASA LOGISTIK,108.280,99.90000153 %,20
215622,19,PT. ANDAHANESA ABADI DAN ENTITAS ANAK,JASA LOGISTIK,406.890,99.98999786 %,20
215623,19,PT. ANUGERAH KRIDA RETAILINDO,"PERDAGANGAN,",819.592,99.98000336 %,20
215624,19,PT. ANUGRAH KARYA RAYA DAN ENTITAS ANAK,PERDAGANGAN DAN PERTAMBANGAN BATUBARA,86.688,99.98999786 %,20
215625,19,PT. ARJUNA UTAMA KIMIA,PABRIKAN BAHAN PEREKAT,419.298,99.95999908 %,20
215627,19,PT. USAHA ERA PRATAMA NUSANTARA DAN ENTITAS ANAK,JASA LOGISTIK,7.351.893,99.98999786 %,20
215626,19,PT. JAKARTA TANK TERMINAL,TERMINAL TANGKI PENYIMPANAN,1.426.716,51.0 %,20
215619,19,PT. AKR NIAGA INDONESIA,PERDAGANGAN KIMIA DASAR,26.266,99.90000153 %,20
215620,19,PT. AKR SEA TRANSPORT,PELAYARAN DOMESTIK,547.356,99.98999786 %,20
215628,20,PT REZKI BATULICIN TRANSPORT,PENGANGKUTAN DARAT,296.537.156.950,99.76000214 %,21
215631,21,PT Swisstex Naratama Indonesia,Distribusi bahan kimia,203.286.427.574,51.0 %,22
215629,21,PT Alfa Polimer Indonesia,Manufaktur,165.491.384.066,51.0 %,22
215630,21,PT Eco Paper Indonesia,Manufaktur,434.495.486.233,99.0 %,22
215634,22,PT Alakasa Alexindo Mitra Sejati,Industri Logam,13.836.899,50.0 %,24
215635,22,PT Alakasa Alumina Refineri,Perdagangan Bahan Baku,14.807.922,70.0 %,24
215637,22,PT Alka Niaga Industri (d/h PT Alakasa Karbon Industri),Perdagangan,551.548,99.0 %,24
