Id,FkProfileId,Name,HoldingType,Amount,Percentage,IdField
452415,26,Masyarakat,Kurang dari 5%,60.081.900,13.84,28
452416,26,Saham Treasury,Saham Treasury,0,0,28
452425,27,Lai Kien Hsin,Direksi,10.000.000,0.93,817
452418,27,"Sphere Corporation, SDN, BHD",Lebih dari 5%,630.638.300,58.39,817
452419,27,Chong Kim Kong,Lebih dari 5%,109.200.000,10.11,817
452420,27,Chong Kim Leong,Lebih dari 5%,75.600.000,7,817
452421,27,Masyarakat,Kurang dari 5%,212.561.700,19.68,817
452422,27,Direksi,Kurang dari 5%,52.000.000,4.82,817
452423,27,Saham Treasury,Saham Treasury,0,0,817
452424,27,Rudy Susanto,Direksi,42.000.000,3.89,817
452433,750,PT Sumber Mineral Citra Nusantara,Free Float,3.359.322.708,4.67,1330
452426,750,PT Medco Services Indonesia,Free Float,2.638.799.080,3.67,1330
452427,750,Masyarakat,Free Float,6.328.208.800,8.8,1330
452428,750,PT Sumber Gemilang Persada,Lebih dari 5%,23.332.191.394,32.44,1330
452429,750,PT Medco Energi Internasional Tbk.,Lebih dari 5%,15.167.510.552,21.09,1330
452430,750,PT AP Investment,Saham Pengendali,11.204.034.620,15.58,1330
452431,750,PT Alpha Investasi Mandiri,Lebih dari 5%,5.156.437.390,7.17,1330
452432,750,PT Pesona Sukses Cemerlang,Lebih dari 5%,4.729.377.112,6.58,1330
452441,677, lr. Mochammad Fithasny Yunus,Direksi,0,0,1257
452434,677,PT Mandara Mas Semesta,Lebih dari 5%,957.800.000,79.82,1257
452435,677,Hartono Limmantoro ,Kurang dari 5%,2.200.000,0.18,1257
452436,677,Masyarakat,Kurang dari 5%,240.029.666,20,1257
452437,677,Saham Treasury,Saham Treasury,0,0,1257
452438,677,Chan Pik Yan,Komisaris,0,0,1257
452439,677,"Prof. Dr. lr. H. Rokhmin Dahuri, MS",Komisaris,0,0,1257
452440,677,"Ny. Arie Yuriwin, S.H., M.Si",Komisaris,0,0,1257
452452,1565,Arief Cahyadi Wana,Direksi,120.000.000,5.4,1125
452442,1565,Ashmore Investment Management Limited,Lebih dari 5%,1.334.120.000,60.04,1125
452443,1565,PT Adikarsa Sarana,Lebih dari 5%,289.921.600,13.05,1125
452444,1565,Ir. Ronaldus Gandahusada,Lebih dari 5%,140.000.000,6.3,1125
452445,1565,Arief Cahyadi Wana,Lebih dari 5%,120.000.000,5.4,1125
452446,1565,FX Eddy Hartanto,Lebih dari 5%,125.200.000,5.63,1125
