Id,FkProfileId,Name,Role,Independent,IdField
107957,30,Bambang Sunarwibowo,KOMISARIS,Tidak,33
107958,30,Dilo Seno Widagdo,KOMISARIS,Tidak,33
107954,30,F.X. Sutijastoto,KOMISARIS UTAMA,Ya,33
107959,31,Irawan Sastrotanojo,KOMISARIS UTAMA,Tidak,34
107960,31,Eka Dharmajanto Kasih,KOMISARIS,Tidak,34
107961,31,Robinson P. Simbolon,KOMISARIS,Ya,34
107962,32,Agus Herlambang,KOMISARIS UTAMA,Tidak,35
107963,32,Leon Tangi,KOMISARIS,Ya,35
107966,33,Sim Yee Fuan,KOMISARIS,Tidak,36
107964,33,Bernadetha Melinda Kirana Putri,KOMISARIS,Ya,36
107965,33,Lim Cheah Chooi,KOMISARIS UTAMA,Tidak,36
107969,34,Rofie Soeandy,KOMISARIS,Tidak,37
107967,34,Alexander Agung Pranoto,KOMISARIS UTAMA,Tidak,37
107968,34,Susanto Tjioe,KOMISARIS,Ya,37
107971,35,Indaryono,KOMISARIS,Tidak,38
107970,35,Letjen. TNI (Purn) Sofian Effendi,KOMISARIS UTAMA,Ya,38
107983,1788,Jhoni Ginting ,KOMISARIS,Ya,1192
107978,1788,Kenneth Ronald Kennedy Crichton ,KOMISARIS UTAMA,Tidak,1192
107979,1788,Rizki Indrakusuma ,WAKIL KOMISARIS UTAMA,Tidak,1192
107980,1788,Abed Nego,KOMISARIS,Tidak,1192
107981,1788,Dr. Ir. Bambang Setiawan,KOMISARIS,Ya,1192
107982,1788,Hamid Awaluddin,KOMISARIS,Ya,1192
107984,37,The Nicholas,KOMISARIS UTAMA,Tidak,41
107985,37,Jantini,KOMISARIS,Tidak,41
107986,37,Ir. Doddy Soepardi Haroen Al Rasjid,KOMISARIS,Ya,41
107987,37,Leo Yulianto Sutedja,KOMISARIS,Tidak,41
107993,38,Notariza Taher,KOMISARIS,Ya,42
107988,38,Jay T. Oentoro,PRESIDEN KOMISARIS,Tidak,42
107989,38,Aulia Setiadi,KOMISARIS,Tidak,42
107990,38,Pranata Hajadi,KOMISARIS,Tidak,42
107991,38,Manish Dahiya,WAKIL KOMISARIS UTAMA,Tidak,42
107992,38,Edwind A. Satyabrata,KOMISARIS,Ya,42
107994,1571,Tatit Jatmiko,KOMISARIS UTAMA,Tidak,1094
107995,1571,"Wawan Setyawan, SE",KOMISARIS,Ya,1094
107997,4559,Drs. Indarto S.H.,KOMISARIS,Ya,1247
107998,4559,Iwan Hadiantoro,KOMISARIS,Tidak,1247
107996,4559,Arya Pradana Setiadharma,KOMISARIS UTAMA,Tidak,1247
108001,536,Wiwik Sukarno AR,KOMISARIS,Ya,982
107999,536,Carsen Finrely,KOMISARIS UTAMA,Tidak,982
108000,536,Puspa Dewi,KOMISARIS,Tidak,982
108005,39,"Prof. Dr. Ir. Alex S.W. Retraubun, M.Sc.",KOMISARIS,Ya,43
108002,39,"Prof. Dr. Marsetio, S.I.P., M.M.",KOMISARIS UTAMA,Tidak,43
108003,39,"Edwin Pamimpin Situmorang, S.H., M.H.",WAKIL KOMISARIS UTAMA,Tidak,43
