Id,FkProfileId,Name,Role,Affiliated,IdField
183619,64,Young Eun Moon**,DIREKTUR,Ya,70
183620,64,Jung Ho Han**,DIREKTUR,Ya,70
183623,65,Mariana Setyadi,DIREKTUR,Tidak,71
183621,65,Yannuar Alin,DIREKTUR UTAMA,Tidak,71
183622,65,Herman Lesmana ,DIREKTUR,Tidak,71
183625,66,Achmad Suherman Kartasasmita,PRESIDEN DIREKTUR,Tidak,72
183626,66,Hendra Halim,WAKIL PRESIDEN DIREKTUR,Ya,72
183627,66,Harun Ansari,DIREKTUR,Tidak,72
183628,66,Yusri Hadi,DIREKTUR,Tidak,72
183624,66,Andy,DIREKTUR,Tidak,72
183629,67,Royke Tumilaar ,DIREKTUR UTAMA,Tidak,73
183630,67,Adi Sulistyowati ,WAKIL DIREKTUR UTAMA,Tidak,73
183631,67,Corina Leyla Karnalies,DIREKTUR,Tidak,73
183632,67,Novita Widya Anggraini,DIREKTUR,Tidak,73
183633,67,Silvano W. Rumantir ,DIREKTUR,Tidak,73
183634,67,David Pirzada ,DIREKTUR,Tidak,73
183635,67,Sis Apik Wijayanto,DIREKTUR,Tidak,73
183636,67,Ronny Venir ,DIREKTUR,Tidak,73
183637,67,Muhammad Iqbal,DIREKTUR,Tidak,73
183638,67,Toto Prasetio,DIREKTUR,Tidak,73
183639,67,Putrama W. Setyawan,DIREKTUR,Tidak,73
183640,67,Mucharom,DIREKTUR,Tidak,73
183653,69,Amam Sukriyanto,DIREKTUR,Tidak,75
183655,69,Viviana Dyah Ayu Retno,DIREKTUR,Tidak,75
183656,69,Arga Mahanana Nugraha ,DIREKTUR,Tidak,75
183657,69,Andrijanto,DIREKTUR,Tidak,75
183654,69,Agus Winardono,DIREKTUR,Tidak,75
183646,69,Sunarso,DIREKTUR UTAMA,Tidak,75
183647,69,Catur Budi Harto,WAKIL DIREKTUR UTAMA,Tidak,75
183648,69,Ahmad Solichin Lutfiyanto,DIREKTUR,Tidak,75
183649,69,Agus Noorsanto,DIREKTUR,Tidak,75
183650,69,Supari,DIREKTUR,Tidak,75
183651,69,Handayani,DIREKTUR,Tidak,75
183652,69,Agus Sudiarto,DIREKTUR,Tidak,75
183660,70,Liely,DIREKTUR,Ya,76
183658,70,Na'im Machzyumi,DIREKTUR UTAMA,Ya,76
183659,70,Sean Lee Yun Feng,DIREKTUR,Ya,76
183663,1589,Wisaksana Djawi,DIREKTUR,Tidak,1158
183661,1589,Laniwati Tjandra,PRESIDEN DIREKTUR,Tidak,1158
183662,1589,Alvin James Kurniawan,DIREKTUR,Tidak,1158
183665,1590,Alberta Soesanto,DIREKTUR,Ya,1145
183664,1590,Felix Soesanto,DIREKTUR UTAMA,Ya,1145
183668,71,Elisabeth Novie Riswanti,DIREKTUR,Tidak,77
183666,71,Nixon L.P. Napitupulu,DIREKTUR UTAMA,Tidak,77
183667,71,Hirwandi Gafar,DIREKTUR,Tidak,77
183669,71,Andi Nirwoto,DIREKTUR,Tidak,77
183670,71,Jasmin,DIREKTUR,Tidak,77
183671,71,Setiyo Wibowo,DIREKTUR,Tidak,77
183672,71,Nofry Rony Poetra,DIREKTUR,Tidak,77
183673,71,Eko Waluyo,DIREKTUR,Tidak,77
183674,71,Oni Febriarto Rahardjo,WAKIL DIREKTUR UTAMA,Tidak,77
183675,71,Hakim Putratama,DIREKTUR,Tidak,77
183678,72,Ricko Irwanto,DIREKTUR,Tidak,78
183676,72,Chen Jun,DIREKTUR,Tidak,78
