FiscalYearEnds,DateOfStatement,Currency,Range,Cashnequivalent,CurrAsset,FixedAsset,TotalAsset,CurrliAbilities,LongtermDebt,MinInterest,TotalLiab,Paidupcap,TotEquity,TotSales,GrossProfit,OperateProfit,NetIncome,CashPptAct,CashInvAct,CashFinAct,Eps,BookValue,Der,Roa,Roe,Npm,Opm,SalesPct,NetIncomePct,TotAssetPct,TotalLiabilitiesPct,Id,DateCreated,DateModified,IsUpdateDate,IdField
December,2016-06-30,IDR,1.0,3288416001000.0,10744043021000.0,13566802882000.0,24310845903000.0,7463328137000.0,8327185601000.0,0.0,15790513738000.0,20500900000.0,8520332165000.0,3919640128000.0,1982340827000.0,1982340827000.0,368116485000.0,0.0,-298069561000.0,-298069561000.0,30.0656,462.44,1.85,0.0202,0.0576,0.09,0.51,4.98,-13.93,4.62,0.88,35,2016-03-24T16:05:14.681695,2016-10-01T00:03:36.45589,True,38
December,2016-06-30,USD,14657.0,713911.0,28669643.0,112720606.0,141390250.0,79430406.0,95064434.0,0.0,174494839.0,335557450.0,-33104588.0,34590458.0,-3459598.0,-9984174.0,-11402147.0,0.0,-577267.0,-577267.0,-557.1939,-1.0,-5.27,-0.1075,0.4592,-0.33,-0.29,3.88,-23.38,-8.79,-1.94,37,2016-03-24T16:05:14.75982,2016-10-01T00:03:36.502765,True,41
December,2016-06-30,USD,1.0,8564000.0,52779000.0,307263000.0,360042000.0,203699000.0,66867000.0,0.0,270566000.0,3000000000.0,89476000.0,19136000.0,0.0,-18588000.0,-16782000.0,0.0,-2671000.0,-2671000.0,-63.1655,322.8,3.02,-0.0621,-0.2501,-0.88,-0.97,-26.18,-46.5,-2.28,5.35,38,2016-03-24T16:05:14.82232,2016-10-01T00:03:36.58089,True,42
December,2016-06-30,IDR,1.0,5177010919.0,535305457088.0,858014658146.0,1393320115234.0,474557954959.0,41001907384.0,0.0,515559862343.0,7341430976.0,877760252891.0,919889435421.0,71936458341.0,75918532853.0,53088093417.0,0.0,-38352003248.0,-38352003248.0,12.1475,123.19,0.59,0.0508,0.0806,0.06,0.08,15.12,-17.64,14.38,31.2,39,2016-03-24T16:05:14.85357,2016-10-01T00:03:36.61214,True,43
December,2016-06-30,IDR,1.0,16656887149.0,61067385978.0,294144290743.0,355211676721.0,937638318.0,49504341618.0,0.0,58880725136.0,446674175.0,296330951585.0,54083154129.0,32752986548.0,-2550747052.0,46273986.0,0.0,-23373320757.0,-23373320757.0,-4.5968,664.91,0.2,0.0002,0.0002,0.0,-0.05,3.76,2.83,0.97,4.02,40,2016-03-24T16:05:14.91607,2016-10-01T00:03:36.64339,True,44
December,2015-09-30,IDR,1.0,20307117082.0,482759858809.0,2041644410394.0,2524404269204.0,239307917280.0,567818743726.0,0.0,807126661006.0,7840000000.0,1717277608196.0,211518886847.0,126528642865.0,56129033295.0,14149361292.0,0.0,-768713624084.0,-768713624084.0,2.4064,219.04,0.47,0.0075,0.011,0.07,0.27,-23.86,-50.84,35.71,16.22,41,2016-03-24T16:05:14.94732,2016-10-01T00:03:36.659015,True,45
December,2016-06-30,IDR,1.0,18093654800.0,730210367267.0,0.0,730210367267.0,624931363435.0,0.0,0.0,624931363435.0,96500000.0,105279003832.0,49890636341.0,18328000806.0,18328000806.0,449011951.0,0.0,52328352056.0,52328352056.0,-21.4068,141.97,5.94,0.0012,0.0085,0.01,0.37,-23.44,103.48,2.25,-8.54,42,2016-03-24T16:05:14.994195,2016-10-01T00:03:36.70589,True,876
December,2016-06-30,IDR,1.0,8766342000.0,399784755000.0,45186440000.0,444971195000.0,300814903000.0,0.0,0.0,300814903000.0,174193236.0,144156292000.0,81092943000.0,15600888000.0,15982551000.0,14077011000.0,0.0,20764273000.0,20764273000.0,116.4785,958.41,2.09,0.0422,0.1302,0.17,0.2,12.32,3.19,21.88,25.64,43,2016-03-24T16:05:15.025445,2016-10-01T00:03:36.752765,True,46
December,2016-06-30,IDR,1.0,15173753000.0,1280163150000.0,29834091000.0,1309997241000.0,1077919269000.0,0.0,0.0,1077919269000.0,192000000.0,232077972000.0,158831342000.0,40260156000.0,31774294000.0,29096565000.0,0.0,-4599021000.0,-4599021000.0,159.1816,1.0,4.64,0.0296,0.1672,0.18,0.2,-18.94,-45.97,2.85,2.13,44,2016-03-24T16:05:15.10357,2016-10-01T00:03:36.784015,True,47
December,2016-06-30,IDR,1.0,468337000000.0,1436237000000.0,373846000000.0,1810083000000.0,688006000000.0,62134000000.0,0.0,750140000000.0,1348780500.0,1059943000000.0,2654641000000.0,767257000000.0,347655000000.0,265120000000.0,0.0,-38865000000.0,-38865000000.0,141.3529,764.29,0.71,0.1465,0.2501,0.1,0.13,21.1,-2.23,-2.68,-25.91,45,2016-03-24T16:05:15.181695,2016-10-01T00:03:36.815265,True,48
